manual_record_id,source_id,source_record_identifier,source_url,evidence_url,observed_at,entered_by,verified_by,verification_status,event_title_original,organizer_name_original,venue_name_original,city_original,locality_original,category_original,description_short_original,city_code,primary_category_code,subcategory_code,secondary_category_codes,product_type_code,delivery_format_code,operating_model_code,audience_codes,minimum_age,maximum_age,skill_level_code,event_start_at,event_end_at,duration_minutes,recurrence_text_original,recurrence_type,registration_deadline,listed_price_inr,discounted_price_inr,tax_included,additional_fee_inr,pricing_unit_code,price_tier_code,materials_included,take_home_product,certificate_included,event_status_code,seats_total,seats_available,interested_count,sold_out_observed,waitlist_available,booking_required,demand_signal_notes,classification_confidence,price_confidence,date_confidence,status_confidence,missing_field_notes,reviewer_notes
d5_b01_001,baking_hub,baking_hub_6_week_certification_june_2026,https://www.bakinghub.in/copy-of-home,https://www.bakinghub.in/copy-of-home,2026-08-05T12:00:00-04:00,Codex,Codex,self_checked,6-Week Certification Course,Baking Hub Academy,Baking Hub Academy,Bengaluru,HBR Layout,Baking certification course,Six-week in-person baking certification course listed for the June 2026 batch.,bengaluru,cooking_and_baking,professional_culinary_training,,certification_course,in_person,dedicated_studio,young_adults;adults,,,beginner,,,,6-week course; source page references June 2026 batch starting 15 June.,course,,,,,,per_course,,,,true,completed,,,,false,,true,Marketing learner and placement claims were not captured as demand signals.,0.9,0.0,0.7,0.7,Exact price and exact end timestamp not captured from source page.,Historical classification uses course start month and six-week duration wording; no exact end time was invented.
d5_b01_002,baking_hub,baking_hub_brownies_blondies_masterclass_2026_07_19,https://www.bakinghub.in/,https://www.bakinghub.in/,2026-08-05T12:00:00-04:00,Codex,Codex,self_checked,Brownies and Blondies Masterclass,Baking Hub Academy,Baking Hub Academy,Bengaluru,HBR Layout,Brownies and blondies masterclass,One-day eggless brownies and blondies masterclass listed with a July 2026 date.,bengaluru,cooking_and_baking,cookies_and_desserts,,individual_one_time_workshop,in_person,dedicated_studio,unspecified,,,unspecified,2026-07-19T11:00:00+05:30,2026-07-19T17:00:00+05:30,360,,one_time,,,,,,unknown,,,,,completed,,,,false,,true,Source mentioned limited seats but no count was retained.,0.95,0.0,0.95,0.95,"Price, age, and capacity not captured.",Past event date overrides page placement/marketing context.
d5_b01_003,mud_effects,mud_effects_one_day_wheel_pottery_weekend,https://mudeffects.com/one-day-workshops/,https://mudeffects.com/one-day-workshops/,2026-08-05T12:00:00-04:00,Codex,Codex,self_checked,One Day Wheel Pottery Workshop,Mud Effects Pottery Studio,Mud Effects Pottery Studio,Bengaluru,Whitefield,Wheel pottery workshop,"Weekend one-day wheel pottery workshop listed with duration, timing, age, and fee.",bengaluru,pottery_and_ceramics,wheel_pottery,,recurring_class,in_person,dedicated_studio,teenagers;young_adults;adults,14,,beginner,,,90,Saturdays and Sundays; any one day; 11:00am to 12:30pm.,recurring,,1650,,,,per_participant,premium,,,,available,,,,false,,true,Book Now link visible; no sales count inferred.,0.98,0.98,0.85,0.8,Specific occurrence date unavailable for recurring weekend product.,"Represented as one recurring product, not duplicated for every weekend."
d5_b01_004,mud_effects,mud_effects_ganesha_idol_september_2026,https://mudeffects.com/one-day-workshops/,https://mudeffects.com/one-day-workshops/,2026-08-05T12:00:00-04:00,Codex,Codex,self_checked,Hand sculpture Ganehsa idol Making Workshop September'26,Mud Effects Pottery Studio,Mud Effects Pottery Studio,Bengaluru,Whitefield,Hand sculpture idol making workshop,September 2026 hand-sculpture workshop product with selectable listed dates.,bengaluru,pottery_and_ceramics,clay_modeling,,individual_one_time_workshop,in_person,dedicated_studio,teenagers;young_adults;adults,14,,beginner,,,180,"Fri, Sat and Sun; selectable dates 4, 5, 6, 11, 12 and 13 September 2026; 11:00am to 2:00pm.",one_time,,1750,,,,per_participant,premium,,,,scheduled,,,,false,,true,No seat or sales count captured.,0.9,0.98,0.8,0.85,Multiple selectable dates listed; no single occurrence timestamp assigned.,Title spelling preserved from source.
d5_b01_005,kalasaara,kalasaara_acrylic_painting_2_month_class,https://kalasaara.in/,https://kalasaara.in/,2026-08-05T12:00:00-04:00,Codex,Codex,self_checked,Acrylic Painting,Kalasaara Art Studio,Kalasaara Art Studio,Bengaluru,Indiranagar,Painting · 2 months,Two-month acrylic painting class listed with two-hour sessions.,bengaluru,art_and_painting,acrylic_painting,,recurring_class,in_person,dedicated_studio,unspecified,,,all_levels,,,120,2-month class; 2 hours per session.,recurring,,,,,,unknown,,,,,available,,,,false,,true,No demand count captured.,0.98,0.0,0.8,0.75,"Price, exact schedule, and age range unavailable.","Recorded as recurring class product, not as dated occurrences."
d5_b01_006,scai,scai_crop_to_cup_bengaluru_2026_08_03_07,https://www.scai.coffee/products/crop-to-cup-workshop,https://www.scai.coffee/products/crop-to-cup-workshop,2026-08-05T12:00:00-04:00,Codex,Codex,self_checked,SCAI Crop to Cup Workshop - Bengaluru Chapter,Specialty Coffee Academy of India,Specialty Coffee Academy India,Bengaluru,Jayanagar,Crop to cup workshop,Five-day in-person crop-to-cup coffee workshop listed for Bengaluru.,bengaluru,coffee_making,bean_to_cup_education,,professional_course,in_person,dedicated_studio,young_adults;adults,,,professional,2026-08-03T11:00:00+05:30,2026-08-07T17:00:00+05:30,,3rd - 7th Aug 2026; 11:00AM to 5:00PM.,course,,39999,,true,,per_course,high_premium,,,,available,,,,false,,true,Add-to-cart was visible; no sales count inferred.,0.98,0.98,0.98,0.8,Age range and capacity unavailable.,"As of 2026-08-05, date range is in progress; schema has no ongoing status, so source availability text is retained."
d5_b01_007,tworks,tworks_introduction_to_ceramics,https://tworks.telangana.gov.in/ceramic-trainings,https://tworks.telangana.gov.in/ceramic-trainings,2026-08-05T12:00:00-04:00,Codex,Codex,self_checked,Introduction to Ceramics,T-Works,T-Works Ceramic Studio,Hyderabad,Rai Durgam,Ceramic training,"Ceramics workshop listing with time, age threshold, and fee.",hyderabad,pottery_and_ceramics,,,individual_one_time_workshop,in_person,dedicated_studio,teenagers;young_adults;adults,12,,beginner,,,120,10am to 12pm; no specific date captured.,unknown,,1800,,,,per_participant,premium,,,,available,,,,false,,true,Book Now link visible; no count inferred.,0.75,0.95,0.4,0.75,Specific date and subcategory unavailable.,Preferred T-Works fields present except date; retained as undated workshop product.
d5_b01_008,tworks,tworks_wheel_throwing_level_01,https://tworks.telangana.gov.in/ceramic-trainings,https://tworks.telangana.gov.in/ceramic-trainings,2026-08-05T12:00:00-04:00,Codex,Codex,self_checked,Wheel Throwing : Level 01,T-Works,T-Works Ceramic Studio,Hyderabad,Rai Durgam,Ceramic training,Wheel throwing workshop listing with time and age threshold.,hyderabad,pottery_and_ceramics,wheel_pottery,,recurring_class,in_person,dedicated_studio,teenagers;young_adults;adults,14,,beginner,,,120,4pm to 6pm; no specific date captured.,unknown,,,,,,unknown,,,,,available,,,,false,,true,Book Now link visible; no count inferred.,0.95,0.0,0.4,0.75,Displayed price looked malformed or unclear and was intentionally left blank.,No date captured; price not normalized because source display was ambiguous.
d5_b01_009,crust_and_crumble,crust_and_crumble_kids_baking_workshops,https://cncbakers.com/,https://cncbakers.com/,2026-08-05T12:00:00-04:00,Codex,Codex,self_checked,Kids Baking Workshops,Crust & Crumble Bakers,Crust & Crumble Bakers,Hyderabad,Hyderabad,Hands-on baking workshops for kids,"Kids baking workshop product listed with age range, duration, and take-home box.",hyderabad,cooking_and_baking,kids_cooking,,recurring_class,in_person,dedicated_studio,young_children;preteens;teenagers,6,14,beginner,,,300,Kids baking workshop product; no specific occurrence date captured.,recurring,,,,,,unknown,,,true,,available,,,,false,,true,Now booking text visible; no sales count inferred.,0.98,0.0,0.4,0.75,Price and exact occurrence dates unavailable.,Recorded as one recurring product; not duplicated across possible dates.
d5_b01_010,mystic_palette,mystic_palette_kids_art_class,https://mysticpalette.art/,https://mysticpalette.art/,2026-08-05T12:00:00-04:00,Codex,Codex,self_checked,Kids Art Class,Mystic Palette,Mystic Palette,Hyderabad,Kokapet,Kids Art Class,"Kids art class with weekend schedule, fee for eight classes, and age range.",hyderabad,art_and_painting,,,class_pack,in_person,dedicated_studio,early_childhood;young_children;preteens,5,12,beginner,,,60,"Saturdays and Sundays, 12 to 1 PM; fee for 8 classes; weekly 2 classes.",recurring,,3000,,,,per_course,premium,,,,available,,,,false,,true,No count inferred.,0.8,0.95,0.85,0.75,Specific subcategory and start date unavailable.,Recorded as class-pack product rather than individual weekend occurrences.
