discovery_id,source_family,city,category,discovery_query_or_method,priority,status,notes
bengaluru_cooking_organizer_websites,Organizer websites,Bengaluru,Cooking and Baking,Manual search for first-party cooking and baking workshop organizers; add each discovered organizer website to source_register.csv as its own reviewed row with stable source_id.,High,partially_converted_to_concrete_sources,Generic family moved out of source register because individual organizer websites must be reviewed one by one. Day 4 added selected concrete first-party source rows; continue discovery for additional organizers.
hyderabad_cooking_organizer_websites,Organizer websites,Hyderabad,Cooking and Baking,Manual search for first-party cooking and baking workshop organizers; add each discovered organizer website to source_register.csv as its own reviewed row with stable source_id.,High,partially_converted_to_concrete_sources,Generic family moved out of source register because individual organizer websites must be reviewed one by one. Day 4 added selected concrete first-party source rows; continue discovery for additional organizers.
bengaluru_art_organizer_websites,Organizer websites,Bengaluru,Art and Painting,Manual search for first-party art and painting workshop organizers; add each discovered organizer website to source_register.csv as its own reviewed row with stable source_id.,High,partially_converted_to_concrete_sources,Generic family moved out of source register because individual organizer websites must be reviewed one by one. Day 4 added selected concrete first-party source rows; continue discovery for additional organizers.
hyderabad_art_organizer_websites,Organizer websites,Hyderabad,Art and Painting,Manual search for first-party art and painting workshop organizers; add each discovered organizer website to source_register.csv as its own reviewed row with stable source_id.,High,partially_converted_to_concrete_sources,Generic family moved out of source register because individual organizer websites must be reviewed one by one. Day 4 added selected concrete first-party source rows; continue discovery for additional organizers.
bengaluru_pottery_organizer_websites,Organizer websites,Bengaluru,Pottery and Ceramics,Manual search for first-party pottery and ceramics workshop organizers; add each discovered organizer website to source_register.csv as its own reviewed row with stable source_id.,High,partially_converted_to_concrete_sources,Generic family moved out of source register because individual organizer websites must be reviewed one by one. Day 4 added selected concrete first-party source rows; continue discovery for additional organizers.
hyderabad_pottery_organizer_websites,Organizer websites,Hyderabad,Pottery and Ceramics,Manual search for first-party pottery and ceramics workshop organizers; add each discovered organizer website to source_register.csv as its own reviewed row with stable source_id.,High,partially_converted_to_concrete_sources,Generic family moved out of source register because individual organizer websites must be reviewed one by one. Day 4 added selected concrete first-party source rows; continue discovery for additional organizers.
bengaluru_coffee_organizer_websites,Organizer websites,Bengaluru,Coffee Making,Manual search for first-party coffee-making workshop organizers; add each discovered organizer website to source_register.csv as its own reviewed row with stable source_id.,High,partially_converted_to_concrete_sources,Generic family moved out of source register because individual organizer websites must be reviewed one by one. Day 4 added selected concrete first-party source rows; continue discovery for additional organizers.
hyderabad_coffee_organizer_websites,Organizer websites,Hyderabad,Coffee Making,Manual search for first-party coffee-making workshop organizers; add each discovered organizer website to source_register.csv as its own reviewed row with stable source_id.,High,partially_converted_to_concrete_sources,Generic family moved out of source register because individual organizer websites must be reviewed one by one. Day 4 added selected concrete first-party source rows; continue discovery for additional organizers.
bengaluru_cooking_studio_calendars,Public studio calendars,Bengaluru,Cooking and Baking,Identify public calendars on reviewed first-party cooking and baking studio websites; add each concrete calendar host as its own source-register row.,High,partially_converted_to_concrete_sources,Calendar technology and access rules vary by studio. Day 4 added selected concrete first-party source rows; continue discovery for additional organizers.
hyderabad_cooking_studio_calendars,Public studio calendars,Hyderabad,Cooking and Baking,Identify public calendars on reviewed first-party cooking and baking studio websites; add each concrete calendar host as its own source-register row.,High,partially_converted_to_concrete_sources,Calendar technology and access rules vary by studio. Day 4 added selected concrete first-party source rows; continue discovery for additional organizers.
bengaluru_art_studio_calendars,Public studio calendars,Bengaluru,Art and Painting,Identify public calendars on reviewed first-party art and painting studio websites; add each concrete calendar host as its own source-register row.,High,partially_converted_to_concrete_sources,Calendar technology and access rules vary by studio. Day 4 added selected concrete first-party source rows; continue discovery for additional organizers.
