source_id,source_name,source_type,base_url,cities_supported,categories_supported,product_types_supported,current_or_historical,earliest_observed_date,expected_update_frequency,available_fields,demand_signals_available,access_method,authentication_required,cost_or_subscription,robots_or_terms_review_status,automation_permission_status,rate_limit_or_collection_limit,historical_depth,data_quality_rating,source_reliability,duplicate_risk,pilot_priority,manual_validation_required,known_limitations,last_reviewed_date,reviewer_notes,terms_url,privacy_url,robots_url,api_documentation_url,review_evidence_url,reviewed_by,reviewed_at,collection_decision,collection_decision_reason,permitted_use_scope,permitted_fields,prohibited_fields,re_review_date,written_permission_required,data_retention_limit,attribution_required
district,District,event_ticketing,https://www.district.in,Bengaluru; Hyderabad,Cooking and Baking; Art and Painting; Pottery and Ceramics; Coffee Making,Individual one-time workshop; Birthday party; Private group event; Other,current_and_limited_historical,unknown,unknown,event title; city; venue; date/time; price; organizer; availability/status; registration link,listing count; availability/status; price; event frequency,public_page_candidate,no,unknown,reviewed,Automated collection prohibited or unsuitable,manual_review_only,Unknown,unknown,Medium,High,Essential,yes,Terms restrict reuse; no official API or written permission identified; no automated bulk extraction approved.,2026-08-05,Preliminary review only; not legal advice. Limited manual feasibility observation may be recorded for research design without republishing protected descriptions or images.,https://www.district.in/policies/terms-of-service,https://www.district.in/policies/privacy-policy,,,https://www.district.in/policies/terms-of-service,Codex,2026-08-05T12:00:00-04:00,pending_review,"Automated collection and bulk extraction are not approved; terms restrict use to personal, non-commercial use and prohibit unapproved copying/reproduction/exploitation/derivative use. Written permission or official API not identified.",limited_manual_feasibility_observation_only,source identity; public URL structure observations; high-level field availability notes,protected event descriptions; images; copied listing content; personal data; merchant/customer content,2026-09-04,yes,review_notes_only_until_permission,unknown
bookmyshow,BookMyShow,event_ticketing,https://in.bookmyshow.com,Bengaluru; Hyderabad,Cooking and Baking; Art and Painting; Pottery and Ceramics; Coffee Making,Individual one-time workshop; Birthday party; Private group event; Other,current_and_limited_historical,unknown,unknown,event title; city; venue; date/time; price; organizer; availability/status; registration link,listing count; availability/status; price; event frequency,public_page_candidate,no,unknown,reviewed,Automated collection prohibited or unsuitable,manual_review_only,Unknown,unknown,Medium,High,Essential,yes,Robots and sitemap availability do not grant reuse rights; terms state content/images are copyright protected and unauthorized use is prohibited.,2026-08-05,Preliminary review only; not legal advice. Limited manual feasibility review and sitemap-structure study may be recorded.,https://in.bookmyshow.com/terms-and-conditions,https://in.bookmyshow.com/privacy-policy,https://in.bookmyshow.com/robots.txt,,https://in.bookmyshow.com/robots.txt; https://in.bookmyshow.com/sitemap/events.xml; https://in.bookmyshow.com/sitemap/activities.xml,Codex,2026-08-05T12:00:00-04:00,pending_review,"Public robots rules and sitemap entries exist, but they do not provide permission to reuse content. Automated bulk extraction is not approved; limited manual feasibility review and sitemap-structure study may be recorded.",limited_manual_feasibility_and_sitemap_structure_review_only,source identity; robots/sitemap structure observations; high-level field availability notes,protected event descriptions; images; copied listing content; personal data,2026-09-04,yes,review_notes_only_until_permission,unknown
allevents,AllEvents,event_aggregator,https://allevents.in,Bengaluru; Hyderabad,Cooking and Baking; Art and Painting; Pottery and Ceramics; Coffee Making,Individual one-time workshop; Free promotional event; Other,current_and_limited_historical,unknown,unknown,event title; city; venue; date/time; price when available; organizer; registration link,listing count; event frequency; price where available,public_page_candidate,no,unknown,not_reviewed,Unknown; legal/terms review required,unknown,Unknown,unknown,Low,High,Supporting,yes,Aggregator coverage may duplicate ticketing and organizer listings; category labels may be noisy.,2026-08-05,Priority 2 as a coverage-expansion source after essential sources are reviewed.,,https://allevents.in/privacy,,,,,,pending_review,Terms/access review not completed.,,,,,,,
google_places_api,Google Places API,business_reputation,https://developers.google.com/maps/documentation/places/web-service,Bengaluru; Hyderabad,Cooking and Baking; Art and Painting; Pottery and Ceramics; Coffee Making,Other,current,unknown,variable,business name; address; locality; coordinates; rating; review count; business status; website,rating; review count; place presence,official_api_candidate,yes,paid_or_quota_limited,not_reviewed,Unknown; legal/terms review required,quota_and_terms_apply,Current only,unknown,High,Medium,Supporting,yes,"API terms, allowed storage, pricing, and review-data usage must be checked before use.",2026-08-05,"Day 4 note: not selected for the Day 5 manual event pilot. Official API exists, but field masks, billing, attribution, caching/storage restrictions, and review-content limits require dedicated evaluation.",,https://policies.google.com/privacy,,https://developers.google.com/maps/documentation/places/web-service,https://developers.google.com/maps/documentation/places/web-service; https://developers.google.com/maps/documentation/places/web-service/policies,,,pending_review,"Later API candidate only; not part of Day 5 manual event collection. Places content terms, field masks, billing, attribution, caching, storage, and review limitations must be reviewed before use.",not_selected_for_day5_manual_event_pilot,place IDs may be evaluated later subject to API policies; no Day 5 manual event fields approved from Google Places API,review text beyond permitted API terms; cached Places content outside policy; personal data; API credentials,2026-11-05,terms_or_api_policy_review_required,,
google_trends_public,Google Trends public interface,search_interest,https://trends.google.com,Bengaluru; Hyderabad,Cooking and Baking; Art and Painting; Pottery and Ceramics; Coffee Making,Other,historical,unknown,periodic_manual_review,keyword; region; time period; relative interest index,search-interest index; search trend,manual_public_interface,no,free,not_reviewed,Unknown; legal/terms review required,manual_sampling_limits,Unknown,unknown,Medium,Low,Supporting,yes,Relative indices require careful keyword design and are not booking data.,2026-08-05,Priority 2 as a supporting demand-interest signal.,,https://policies.google.com/privacy,,,,,,pending_review,Terms/access review not completed.,,,,,,,
coffee_board_of_india,Coffee Board of India,government_or_industry_body,https://coffeeboard.gov.in,Bengaluru; Hyderabad,Coffee Making,Professional course; Other,current_and_limited_historical,unknown,unknown,official notices; training/program references; institutional context,official context; training availability where public,manual_or_public_page_candidate,no,unknown,not_reviewed,Unknown; legal/terms review required,source_specific,Unknown,unknown,High,Low,Supporting,yes,May provide industry context more than consumer workshop listings.,2026-08-05,Priority 2 coffee-specific official candidate; no automation approval assumed.,,https://coffeeboard.gov.in,,,,,,pending_review,Terms/access review not completed.,,,,,,,
specialty_coffee_association_india,Specialty Coffee Association of India,industry_body,https://scaindia.coffee,Bengaluru; Hyderabad,Coffee Making,Professional course; Other,current_and_limited_historical,unknown,unknown,program/event references; member or training information where public,official context; training availability where public,manual_or_public_page_candidate,no,unknown,not_reviewed,Unknown; legal/terms review required,source_specific,Unknown,unknown,High,Low,Supporting,yes,May provide industry context more than consumer workshop listings.,2026-08-05,Priority 2 coffee-specific official candidate; no automation approval assumed.,,https://scaindia.coffee,,,,,,pending_review,Terms/access review not completed.,,,,,,,
somethings_brewing,Something's Brewing,first_party_organizer,https://somethingsbrewing.in,Bengaluru; Hyderabad,Coffee Making,Individual one-time workshop; Professional course; Other,current_and_limited_historical,unknown,unknown,workshop/program title; city; schedule; price where public; product/training details,program availability; price where public; event frequency where listed,manual_or_public_page_candidate,no,unknown,reviewed,Automated collection prohibited or unsuitable,source_specific,Unknown,unknown,Medium,Medium,Supporting,yes,"Terms prohibit reproducing, copying, selling, reselling, or exploiting site content without written permission and prohibit spidering, crawling, and scraping. Not selected as a first automated collector.",2026-08-05,Day 4 review: automated collection rejected. Limited manual research observation may be considered only if governance rules and legal review permit factual-field transcription without copying protected content.,https://somethingsbrewing.in/policies/terms-of-service,https://somethingsbrewing.in/policies/privacy-policy,https://somethingsbrewing.in/robots.txt,,https://somethingsbrewing.in/policies/terms-of-service; https://somethingsbrewing.in/pages/help,Codex,2026-08-05T12:00:00-04:00,pending_review,Automated collection is rejected for now due terms prohibiting spidering/crawling/scraping and unapproved copying/reproduction/exploitation; limited manual factual observation remains pending legal/governance confirmation.,manual_feasibility_observation_only_pending_permission_basis,source identity; public URL structure observations; high-level field availability notes,full source descriptions; images; image URLs; customer names; customer contact details; reviews or testimonials; cookies; authorization headers; credentials; payment data; personal data; automated extraction; bulk extraction,2026-11-05,yes_for_automation_or_reuse_beyond_manual_observation,review notes only until permission basis is confirmed,unknown; retain source URL for any review notes
instagram_public_business_accounts,Public Instagram business accounts,social_platform,https://www.instagram.com,Bengaluru; Hyderabad,Cooking and Baking; Art and Painting; Pottery and Ceramics; Coffee Making,Individual one-time workshop; Birthday party; Holiday camp; Summer camp; Corporate event; Private group event; Free promotional event; Other,current_and_limited_historical,unknown,manual_or_api_dependent,public profile name; followers; public posts; event announcements; engagement counts where permitted,followers; likes/comments; post frequency; sold-out announcements where public,manual_or_api_candidate,possibly,unknown,not_reviewed,Unknown; legal/terms review required,platform_limits_apply,Unknown,unknown,Low,High,Optional,yes,"Social engagement can be noisy, bought, or unrelated to bookings; platform terms and API options must be reviewed.",2026-08-05,Priority 3/conditional supporting signal only.,,https://privacycenter.instagram.com/policy/,,,,,,pending_review,Platform terms/access review not completed.,,,,,,,
facebook_public_event_pages,Facebook public event pages,social_platform,https://www.facebook.com,Bengaluru; Hyderabad,Cooking and Baking; Art and Painting; Pottery and Ceramics; Coffee Making,Individual one-time workshop; Free promotional event; Other,current_and_limited_historical,unknown,manual_or_api_dependent,public event title; date/time; organizer; location; engagement where permitted,event interest where public; listing count; event frequency,manual_or_api_candidate,possibly,unknown,not_reviewed,Unknown; legal/terms review required,platform_limits_apply,Unknown,unknown,Low,High,Optional,yes,Platform access restrictions and noisy duplicate event pages likely.,2026-08-05,Priority 3/conditional supporting signal only.,,https://www.facebook.com/privacy/policy/,,,,,,pending_review,Platform terms/access review not completed.,,,,,,,
